Designator,Mid X,Mid Y,Rotation,Layer
ADS1015_1_DIG1,138.547058,-62.7696,180.0,bottom
ADS1015_2_DIG1,138.3288,-117.1224,180.0,bottom
ASD1015_1_ANA1,120.767058,-62.7696,180.0,bottom
ASD1015_2_ANA1,120.5488,-117.1224,180.0,bottom
C1,142.3416,-67.7672,90.0,bottom
C2,142.3416,-122.1086,90.0,bottom
CV_INPUT_I2C_EXPANDER1,141.7066,-91.3892,180.0,bottom
CV_INPUT_I2C_THRU1,121.7676,-91.4654,180.0,bottom
JACK1,129.3876,-57.812001,180.0,top
JACK2,129.3876,-73.463019,180.0,top
JACK3,129.3876,-89.114037,180.0,top
JACK4,129.3876,-112.590564,180.0,top
JACK5,129.3876,-128.241582,180.0,top
JACK6,129.3876,-143.8926,180.0,top
