Designator,Mid X,Mid Y,Rotation,Layer
ADS1015_2_DIG1,132.1058,-106.6246,0.0,top
ASD1015_2_ANA1,149.8858,-106.6246,0.0,top
C1,142.0876,-42.418,180.0,top
C10,146.6596,-32.3811,270.0,top
C11,144.9031,-51.0032,180.0,top
C12,148.8694,-36.5936,270.0,top
C13,150.9776,-50.4952,90.0,top
C14,145.1649,-77.1652,180.0,top
C15,144.3736,-93.4532,180.0,top
C16,157.0228,-58.7248,180.0,top
C17,157.0736,-76.3016,180.0,top
C18,131.2672,-96.2445,270.0,top
C19,152.0952,-63.9064,90.0,top
C2,142.0179,-84.3913,270.0,top
C3,144.78,-118.1518,270.0,top
C4,134.874,-118.2026,90.0,top
C5,152.4508,-42.3672,270.0,top
C6,152.2003,-84.3698,270.0,top
C7,137.9231,-98.7196,0.0,top
C8,141.8054,-98.745,180.0,top
C9,147.4873,-95.5848,0.0,top
D1,149.733,-120.0568,90.0,top
D2,139.9286,-120.1584,270.0,top
DAC1,147.1168,-61.5696,270.0,top
EURO_POWER1,140.8834,-127.1066,270.0,top
J2,135.6963,-34.0868,180.0,top
J3,151.6076,-25.1714,270.0,top
J4,144.8766,-25.1714,270.0,top
J5,133.8884,-57.802749,0.0,top
J7,135.4931,-83.1596,180.0,top
JACK_A1,162.3466,-34.2757,180.0,top
JACK_A2,162.3466,-100.6707,180.0,top
JACK_B1,162.3466,-51.679466,180.0,top
JACK_B2,162.3466,-112.8957,180.0,top
JACK_C1,162.3466,-69.083232,180.0,top
JACK_C2,162.3466,-125.1207,180.0,top
JACK_D1,162.3466,-86.487,180.0,top
LED_A1,162.6362,-26.4464,270.0,top
LED_B1,162.56,-43.8708,270.0,top
LED_C1,162.5346,-61.2952,270.0,top
LED_D1,162.5346,-78.7196,270.0,top
R1,137.2108,-110.9472,0.0,top
R10,146.05,-54.0352,270.0,top
R11,151.0284,-36.619,270.0,top
R12,148.336,-50.2572,270.0,top
R13,167.894,-26.6954,270.0,top
R14,167.9448,-44.1104,270.0,top
R15,157.6324,-26.0604,270.0,top
R16,156.988,-44.1706,0.0,top
R17,150.7236,-75.962,270.0,top
R18,141.5288,-72.4408,270.0,top
R19,148.2637,-76.0476,90.0,top
R2,141.8684,-110.9726,0.0,top
R20,144.4404,-89.1352,180.0,top
R21,145.1864,-74.93,0.0,top
R22,144.4244,-91.3196,0.0,top
R23,167.9702,-61.5442,270.0,top
R24,167.9702,-78.9686,270.0,top
R25,157.0068,-61.3918,0.0,top
R26,156.9974,-78.9178,0.0,top
R3,143.7386,-101.8286,90.0,top
R4,146.2532,-101.8192,270.0,top
R5,149.2852,-28.2956,180.0,top
R6,142.8242,-28.2702,180.0,top
R7,144.4244,-32.4358,90.0,top
R8,143.8656,-54.0446,90.0,top
R9,150.0378,-33.4186,0.0,top
U1,147.7264,-43.5623,270.0,top
U2,146.9821,-83.0705,270.0,top
U3,137.226,-106.783,90.0,top
U4,139.2922,-101.5898,0.0,top
U5,141.8336,-106.7562,90.0,top
