Designator,Footprint,Quantity,Value,LCSC Part #
"ADDR_A0, ADDR_A1, ADDR_A2, ADDR_A3",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,4,Conn_01x03_Pin,
ADS1015_2_DIG1,PinSocket_1x05_P2.54mm_Vertical,1,ADS1015 digital side,
ASD1015_2_ANA1,PinSocket_1x05_P2.54mm_Vertical,1,ADS1015 analog side,
"C1, C12, C13, C16, C17, C18, C19, C2, C5, C6, C7, C9",0805,12,100nF,
"C10, C11, C14, C15",0805,4,22pF,
"C3, C4",CP_Elec_5x5.7,2,10uF,
C8,0805,1,10uF,
"D1, D2",0805,2,1N5817,
DAC1,TSSOP-16_4.4x5mm_P0.65mm,1,DAC8574IPWG4,
EURO_POWER1,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
"J2, J7",IDC-Header_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,
J3,PinHeader_1x02_P2.54mm_Vertical,1,SDA pullup,
J4,PinHeader_1x02_P2.54mm_Vertical,1,SCL pullup,
J5,PinHeader_2x08_P2.54mm_Vertical,1,Conn_02x08_Counter_Clockwise,
"JACK_A1, JACK_A2, JACK_B1, JACK_B2, JACK_C1, JACK_C2, JACK_D1",PJ302M,7,PJ302M,
"LED_A1, LED_B1, LED_C1, LED_D1",LED_D3.0mm,4,LED_Dual_Bidirectional,
"R1, R5, R6",0805,3,10k,
"R10, R19, R20, R9",0805,4,2.2k,
"R11, R12, R21, R22",0805,4,220,
"R13, R14, R17, R18, R23, R24, R7, R8",0805,8,1K,
"R15, R16, R25, R26",0805,4,47,
R2,0805,1,560,
"R3, R4",0805,2,150r,
"U1, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,TL074,
U3,SOT-23_Handsoldering,1,LM4040DBZ-5,
U4,SOT-223,1,LD1117S33TR_SOT223,
U5,SOT-23_Handsoldering,1,LM4040DBZ-33,
