Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6, C7",0805,5,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",D_SOD-123,32,BAT43,
"EXPANDER_THRU, GATE_SPI_OUTPUT_EXPANDER1",PinHeader_2x08_P2.54mm_Vertical,2,16 pin header,
J1,PinSocket_1x10_P2.54mm_Vertical,1,Output_A_Connector_Backboard,
J16,PinHeader_1x03_P2.54mm_Vertical,1,ADDR0,
J17,PinHeader_1x03_P2.54mm_Vertical,1,ADDR1,
J18,PinHeader_1x03_P2.54mm_Vertical,1,ADDR2,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Output_B_Connector_Backboard,
J5,IDC-Header_2x08_P2.54mm_Vertical,1,Eurorack power,
J6,PinHeader_1x03_P2.54mm_Vertical,1,CS_SELECT,
J7,PinHeader_1x03_P2.54mm_Vertical,1,5V selector,
"U1, U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108EPW,
U3,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23S17_SS,
