Designator,Mid X,Mid Y,Rotation,Layer
C1,166.2863,-82.5489,180.0,top
C2,154.0231,-79.5009,180.0,top
C5,155.6843,-85.4445,0.0,top
C6,167.2007,-105.0025,180.0,top
C7,167.2311,-110.7937,0.0,top
D1,162.3822,-60.5028,180.0,top
D10,152.9334,-57.2008,180.0,top
D11,145.4404,-49.9364,0.0,top
D12,152.3492,-72.644,180.0,top
D13,164.7698,-54.737,180.0,top
D14,164.8206,-52.197,0.0,top
D15,166.37,-57.2262,180.0,top
D16,166.9288,-48.7172,0.0,top
D2,158.4208,-57.2262,180.0,top
D25,144.7556,-128.016,180.0,top
D26,144.654,-135.0264,0.0,top
D27,147.3718,-124.6886,180.0,top
D28,147.2174,-131.826,0.0,top
D29,153.6954,-130.4798,180.0,top
D3,150.3934,-49.911,0.0,top
D30,150.0378,-128.016,180.0,top
D31,157.4292,-127.5334,0.0,top
D32,161.0878,-122.2502,0.0,top
D33,156.1338,-134.8232,180.0,top
D34,152.6286,-124.714,180.0,top
D35,164.3126,-134.7978,180.0,top
D36,162.8648,-115.5192,0.0,top
D37,158.497,-119.634,180.0,top
D38,154.8394,-122.2248,180.0,top
D39,165.0746,-130.6068,180.0,top
D4,150.4188,-64.3382,180.0,top
D40,165.1508,-126.8222,0.0,top
D5,159.5618,-63.246,180.0,top
D6,155.448,-60.7314,180.0,top
D7,147.7772,-57.912,0.0,top
D8,147.828,-60.6552,180.0,top
D9,156.7942,-66.1924,180.0,top
EXPANDER_THRU,176.1744,-85.0392,180.0,bottom
GATE_SPI_OUTPUT_EXPANDER1,143.3576,-84.5312,180.0,bottom
J1,147.2515,-44.6013,90.0,top
J16,140.97,-111.7854,180.0,bottom
J17,145.796,-111.7854,180.0,bottom
J18,150.5204,-111.7854,180.0,bottom
J2,146.6419,-145.9981,90.0,top
J5,173.468016,-56.0832,180.0,bottom
J6,141.7143,-67.7153,0.0,bottom
J7,141.5796,-57.7954,0.0,bottom
U1,160.4301,-79.026,90.0,top
U2,160.6921,-107.9158,270.0,top
U3,158.4361,-94.9373,270.0,top
