Designator,Mid X,Mid Y,Rotation,Layer
C1,166.2863,-82.5489,180.0,top
C2,154.0231,-79.5009,180.0,top
C5,155.6843,-85.4445,0.0,top
C6,167.2007,-105.0025,180.0,top
C7,167.2311,-110.7937,0.0,top
D1,160.5888,-48.2589,180.0,top
D10,157.6655,-62.0765,0.0,top
D11,146.2355,-47.9033,0.0,top
D12,153.9571,-76.1481,180.0,top
D13,161.8819,-50.7989,0.0,top
D14,162.9995,-59.0285,0.0,top
D15,166.0244,-48.3097,180.0,top
D16,163.9647,-65.2769,0.0,top
D2,160.2563,-57.0981,180.0,top
D25,145.7044,-130.7073,180.0,top
D26,145.6767,-141.2229,0.0,top
D27,148.5446,-127.2021,180.0,top
D28,148.7755,-135.9397,0.0,top
D29,149.7407,-138.0733,0.0,top
D3,151.7396,-48.7161,0.0,top
D30,149.5144,-130.7073,180.0,top
D31,158.7831,-130.8597,0.0,top
D32,160.2563,-128.5737,0.0,top
D33,153.3475,-133.9585,0.0,top
D34,154.9731,-130.5041,0.0,top
D35,162.7963,-126.6433,180.0,top
D36,161.8311,-132.9933,180.0,top
D37,157.6147,-135.8889,180.0,top
D38,156.0907,-138.1241,180.0,top
D39,165.3871,-138.2257,180.0,top
D4,158.1227,-70.2553,180.0,top
D40,165.3871,-134.9237,0.0,top
D5,156.8019,-50.5957,0.0,top
D6,159.8499,-67.1565,180.0,top
D7,149.2096,-51.0529,0.0,top
D8,152.7379,-67.9185,0.0,top
D9,154.2288,-53.1865,0.0,top
J1,147.2515,-44.6013,90.0,top
J16,140.97,-111.7854,180.0,bottom
J17,145.796,-111.7854,180.0,bottom
J18,150.5204,-111.7854,180.0,bottom
J2,146.6419,-145.9981,90.0,top
J5,173.468016,-56.0832,180.0,bottom
J6,141.7143,-67.7153,0.0,bottom
J7,141.5796,-57.7954,0.0,bottom
SPI Expander THRU,176.1998,-85.1154,180.0,bottom
SPI Expander to Host,143.3399,-84.6317,180.0,bottom
U1,160.4301,-79.026,90.0,top
U2,160.6921,-107.9158,270.0,top
U3,158.4361,-94.9373,270.0,top
