Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6, C7",0805,5,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D2, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D5, D6, D7, D8, D9",0805,32,BAT43,
"D17, D18, D19, D20, D21, D22, D23, D24, D41, D42, D43, D44, D45, D46, D47, D48",LED_D3.0mm,16,LED,
J1,PinSocket_1x10_P2.54mm_Vertical,1,Output_A_Connector_Backboard,
J16,PinHeader_1x03_P2.54mm_Vertical,1,ADDR0,
J17,PinHeader_1x03_P2.54mm_Vertical,1,ADDR1,
J18,PinHeader_1x03_P2.54mm_Vertical,1,ADDR2,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Output_B_Connector_Backboard,
J3,PinHeader_1x10_P2.54mm_Vertical,1,Output_A_Connector_Frontboard,
J4,PinHeader_1x10_P2.54mm_Vertical,1,Output_B_Connector_Frontboard,
J5,IDC-Header_2x08_P2.54mm_Vertical,1,Eurorack power,
J6,PinHeader_1x03_P2.54mm_Vertical,1,CS_SELECT,
J7,PinHeader_1x03_P2.54mm_Vertical,1,5V selector,
"JACK1, JACK14",Thonkiconn Renumbered,2,~,
"JACK10, JACK11, JACK12, JACK13, JACK15, JACK16, JACK2, JACK3, JACK4, JACK5, JACK6, JACK7, JACK8, JACK9",Thonkiconn Renumbered,14,fuzzySI_thonkiconn,
"R1, R11, R13, R15, R17, R19, R21, R23, R25, R27, R29, R3, R31, R5, R7, R9",0805,16,47K,
"R10, R12, R14, R16, R18, R2, R20, R22, R24, R26, R28, R30, R32, R4, R6, R8",0805,16,1K,
SPI Expander THRU,PinHeader_2x08_P2.54mm_Vertical,1,NOT POWER!!,
SPI Expander to Host,PinHeader_2x08_P2.54mm_Vertical,1,16 pin header,
"U1, U2",TSSOP-20_4.4x6.5mm_P0.65mm,2,TXS0108EPW,
U3,SSOP-28_5.3x10.2mm_P0.65mm,1,MCP23S17_SS,
