Designator,Mid X,Mid Y,Rotation,Layer
C1,218.2876,-65.578258,270.0,bottom
C2,217.491,-143.9926,180.0,bottom
C3,217.3224,-123.1808,90.0,bottom
C4,217.3894,-152.9334,180.0,bottom
C5,218.0844,-83.053228,270.0,bottom
C6,217.8812,-97.8408,270.0,bottom
J1_BACK1,204.921,-55.1304,90.0,top
J2_BACK1,203.651,-158.5338,90.0,top
MIDI_EXPANDER_1,204.47,-134.493,270.0,bottom
R10,204.2668,-65.416658,270.0,bottom
R11,203.454,-89.795886,90.0,bottom
R12,212.2932,-92.615286,180.0,bottom
R13,215.5952,-73.189058,90.0,bottom
R14,215.2142,-90.608686,90.0,bottom
R15,204.5208,-108.122656,0.0,bottom
R16,202.9206,-97.683256,270.0,bottom
R17,204.5716,-126.7714,0.0,bottom
R18,203.4032,-116.015542,270.0,bottom
R19,214.9856,-105.481056,90.0,bottom
R20,214.4014,-123.317,90.0,bottom
R9,206.4766,-75.652858,0.0,bottom
U1,205.2434,-147.041,270.0,top
ULPZWmidi1,210.2104,-69.390258,90.0,top
ULPZWmidi2,209.8294,-86.933,90.0,top
ULPZWmidi3,209.6516,-101.699884,90.0,top
ULPZWmidi4,209.1182,-119.531942,90.0,top
