Designator,Mid X,Mid Y,Rotation,Layer
J1_FRONT1,179.921,-55.1304,270.0,bottom
J2_FRONT1,178.651,-158.5338,270.0,bottom
JMIDIIN1,191.5554,-63.7416,270.0,top
JMIDIIN2,191.5554,-76.256577,270.0,top
JMIDIIN3,191.5554,-88.817414,270.0,top
JMIDIIN4,191.5554,-101.378251,270.0,top
JMIDIOUT1,191.5554,-113.936745,270.0,top
JMIDIOUT2,191.6062,-126.49103,270.0,top
JMIDIOUT3,191.5554,-139.045315,270.0,top
JMIDIOUT4,191.5046,-151.5996,270.0,top
R1,187.7442,-107.7084,180.0,top
R2,180.5432,-120.2436,0.0,top
R3,176.9746,-142.8874,90.0,top
R4,187.7442,-145.33917,180.0,top
R5,176.8222,-117.7922,90.0,top
R6,176.9746,-130.30103,90.0,top
R7,180.3274,-132.829,0.0,top
R8,176.9746,-155.49917,90.0,top
