Designator,Footprint,Quantity,Value,LCSC Part #
"C3, C8",C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,2,C_Small,
C5,CP_Radial_D6.3mm_P2.50mm,1,C_Polarized_Small,
C6,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,10uF,
C7,C_Axial_L5.1mm_D3.1mm_P7.50mm_Horizontal,1,1uF,
CV_INPUT_I2C_EXPANDER,PinHeader_2x04_P2.54mm_Vertical,1,8 pin header,
D+12V1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5817,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
GATE_OUTPUT_EXPANDER1,PinHeader_2x08_P2.54mm_Vertical,1,16 pin header,
J2,PinHeader_1x02_P2.54mm_Vertical,1,USB power,
J4,PinHeader_1x05_P2.54mm_Vertical,1,USB Host header,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_01x08_Pin,
"MIDI_EXPANDER_1, MIDI_EXPANDER_2",PinHeader_2x05_P2.54mm_Vertical,2,Conn_02x05_Counter_Clockwise,
POWER1,IDC-Header_2x05_P2.54mm_Vertical,1,Eurorack power header,
"R1, R4",R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,2,100R,
"R2, R3, R5, R6",R_Axial_DIN0309_L9.0mm_D3.2mm_P2.54mm_Vertical,4,R,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,Rotary_Encoder_Switch,
SW2,SW_PUSH_6mm_H13mm,1,SW_Push_Back,
SW3,SW_PUSH_6mm_H13mm,1,SW_Push_Select,
U1,TO-92_Inline,1,L78L05_TO92,
U2,Teensy41,1,Teensy4.1,
U3,doctea ili9341 3.2,1,TFT_320x240,
