Designator,Mid X,Mid Y,Rotation,Layer
C3,78.8924,-117.7544,180.0,bottom
C5,88.9508,-118.883421,270.0,bottom
C6,86.1822,-106.6292,270.0,bottom
C7,87.3506,-98.619,90.0,bottom
C8,94.3864,-46.2026,90.0,bottom
CV_INPUT_I2C_EXPANDER,99.7966,-87.7824,0.0,bottom
D+12V1,91.694,-102.5398,270.0,bottom
D1,73.8632,-122.3264,0.0,bottom
GATE_OUTPUT_EXPANDER1,93.8276,-72.4408,0.0,bottom
J2,59.6138,-109.22,90.0,bottom
J4,50.3428,-111.1504,0.0,bottom
J5,57.658,-47.498,90.0,bottom
MIDI_EXPANDER_1,52.705,-92.4814,0.0,bottom
MIDI_EXPANDER_2,52.6796,-73.6092,0.0,bottom
POWER1,99.949,-100.1522,180.0,bottom
R1,98.7298,-48.7426,90.0,bottom
R2,66.7448,-128.8796,0.0,bottom
R3,66.7258,-136.4742,0.0,bottom
R4,70.3008,-43.1546,0.0,bottom
R5,85.5218,-44.3738,180.0,bottom
R6,64.2112,-43.1546,0.0,bottom
SW1,62.9268,-133.8688,180.0,top
SW2,73.321413,-129.1188,0.0,top
SW3,91.687089,-129.1188,0.0,top
U1,85.8266,-102.4128,0.0,bottom
U2,74.93,-83.1596,90.0,bottom
U3,101.6118,-36.7096,270.0,top
